page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
   6    74 image    3000  4000  cmyk    4   8  image  no     22569  0  1986  1986 28.9M  63%
   6    75 image    4000  3000  cmyk    4   8  image  no     22580  0  2140  2140 29.3M  64%
   6    76 image    3000  4000  cmyk    4   8  image  no     22589  0  1986  1986 25.2M  55%
   6    77 image    3000  4000  cmyk    4   8  image  no     22590  0  1987  1987 26.7M  58%
   6    78 image    4000  3000  index   1   8  image  no     22525  0  2125  2125 9623K  82%
   6    79 image    3000  4000  cmyk    4   8  image  no     22526  0  1734  1734 29.4M  64%
   6    80 image    3000  4000  cmyk    4   8  image  no     22527  0  1734  1734 15.0M  33%
   6    81 image    4000  3000  cmyk    4   8  image  no     22528  0  1944  1944 26.2M  57%
   6    82 image    3935  5171  cmyk    4   8  image  no     22529  0  2350  2350 16.2M  21%
   6    83 image    3000  4000  cmyk    4   8  image  no     22530  0  1734  1734 17.9M  39%
   6    84 image    2492  1756  cmyk    4   8  image  no     22531  0   404   404 5520K  32%
   6    85 smask    2492  1756  gray    1   8  image  no     22531  0   404   404 86.8K 2.0%
   6    86 image    2492  1756  cmyk    4   8  image  no     22531  0   401   401 5520K  32%
   6    87 smask    2492  1756  gray    1   8  image  no     22531  0   401   401 86.8K 2.0%
   6    88 image    2492  1756  cmyk    4   8  image  no     22531  0   358   358 5520K  32%
   6    89 smask    2492  1756  gray    1   8  image  no     22531  0   358   358 86.8K 2.0%
   6    90 image    2492  1756  cmyk    4   8  image  no     22531  0   354   354 5520K  32%
   6    91 smask    2492  1756  gray    1   8  image  no     22531  0   354   354 86.8K 2.0%
   6    92 image     564   404  cmyk    4   8  image  no     22533  0   204   204  849K  95%
   6    93 image    3779  2792  cmyk    4   8  image  no     22534  0   701   743 12.5M  31%
   6    94 smask    3779  2792  gray    1   8  image  no     22534  0   701   743 90.7K 0.9%
   6    95 image    3777  2763  cmyk    4   8  image  no     22535  0   953   953 10.5M  26%
   6    96 smask    3777  2763  gray    1   8  image  no     22535  0   953   953  102K 1.0%
   6    97 image    1280  1280  cmyk    4   8  image  no     22536  0   512   512 4955K  77%
   6    98 image    1280  1280  cmyk    4   8  image  no     22537  0   436   436 3414K  53%
   6    99 image    1280  1280  cmyk    4   8  image  no     22538  0   512   512 4690K  73%
   6   100 image    3777  2708  cmyk    4   8  image  no     22539  0   521   521 2161K 5.4%
   6   101 smask    3777  2708  gray    1   8  image  no     22539  0   521   521 29.4K 0.3%
   6   102 image    3777  2680  cmyk    4   8  image  no     22540  0   720   720 3635K 9.2%
   6   103 smask    3777  2680  gray    1   8  image  no     22540  0   720   720 37.4K 0.4%
   6   104 image    3777  2673  cmyk    4   8  image  no     22541  0   574   574 1976K 5.0%
   6   105 smask    3777  2673  gray    1   8  image  no     22541  0   574   574 25.2K 0.3%
   6   106 image    3777  2687  cmyk    4   8  image  no     22542  0   467   467 2069K 5.2%
   6   107 smask    3777  2687  gray    1   8  image  no     22542  0   467   467 26.3K 0.3%
   6   108 image    3777  2680  cmyk    4   8  image  no     22544  0   749   749 3760K 9.5%
   6   109 smask    3777  2680  gray    1   8  image  no     22544  0   749   749 32.5K 0.3%
   6   110 image    3777  2715  cmyk    4   8  image  no     22545  0   636   636 2184K 5.5%
   6   111 smask    3777  2715  gray    1   8  image  no     22545  0   636   636 28.7K 0.3%
   6   112 image    3777  2708  cmyk    4   8  image  no     22539  0   636   636 2161K 5.4%
   6   113 smask    3777  2708  gray    1   8  image  no     22539  0   636   636 29.4K 0.3%
   6   114 image    3777  2680  cmyk    4   8  image  no     22540  0   636   636 3635K 9.2%
   6   115 smask    3777  2680  gray    1   8  image  no     22540  0   636   636 37.4K 0.4%
   6   116 image    3777  2673  cmyk    4   8  image  no     22541  0   636   636 1976K 5.0%
   6   117 smask    3777  2673  gray    1   8  image  no     22541  0   636   636 25.2K 0.3%
   6   118 image    3777  2687  cmyk    4   8  image  no     22542  0   636   636 2069K 5.2%
   6   119 smask    3777  2687  gray    1   8  image  no     22542  0   636   636 26.3K 0.3%
   6   120 image    3777  2770  cmyk    4   8  image  no     22546  0   636   636 4330K  11%
   6   121 smask    3777  2770  gray    1   8  image  no     22546  0   636   636 30.7K 0.3%
   6   122 image    3777  2680  cmyk    4   8  image  no     22544  0   636   636 3760K 9.5%
   6   123 smask    3777  2680  gray    1   8  image  no     22544  0   636   636 32.5K 0.3%
   6   124 image    3777  2701  cmyk    4   8  image  no     22547  0   636   636 2365K 5.9%
   6   125 smask    3777  2701  gray    1   8  image  no     22547  0   636   636 29.7K 0.3%
   6   126 image    3777  2618  cmyk    4   8  image  no     22548  0   636   636 2897K 7.5%
   6   127 smask    3777  2618  gray    1   8  image  no     22548  0   636   636 33.6K 0.3%
   6   128 image    3777  2687  cmyk    4   8  image  no     22550  0   636   636 2055K 5.2%
   6   129 smask    3777  2687  gray    1   8  image  no     22550  0   636   636 27.5K 0.3%
   6   130 image    3777  2687  cmyk    4   8  image  no     22550  0   434   434 2055K 5.2%
   6   131 smask    3777  2687  gray    1   8  image  no     22550  0   434   434 27.5K 0.3%
   6   132 image    1280  1280  cmyk    4   8  image  no     22551  0   418   418 4987K  78%
   6   133 image    1280  1707  cmyk    4   8  image  no     22552  0   531   531 4687K  55%
   6   134 image    1280  1707  cmyk    4   8  image  no     22553  0   479   479 5452K  64%
   6   135 image    1842  2032  cmyk    4   8  image  no     22554  0   394   394 2089K  14%
   6   136 smask    1842  2032  gray    1   8  image  no     22554  0   394   394 3740B 0.1%
   6   137 image    2522  1404  cmyk    4   8  image  no     22555  0   212   212  278K 2.0%
   6   138 smask    2522  1404  gray    1   8  image  no     22555  0   212   212 33.2K 1.0%
   6   139 image    2522  1404  cmyk    4   8  image  no     22555  0   240   240  278K 2.0%
   6   140 smask    2522  1404  gray    1   8  image  no     22555  0   240   240 33.2K 1.0%
   6   141 image     600   600  index   1   8  image  no     22556  0   311   311 58.6K  17%
